"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4488","Andhra Pradesh","Installing community drinking water plants","WS/MP18334/2025-2026/152223","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","04-Feb-2026","AHOBILA NARASIMHA CONSTRUCTIONS","Payment Success","499495"
"4489","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/246274","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","18-Jun-2026","AHOBILA NARASIMHA CONSTRUCTIONS","Payment Success","396702"
"4490","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/246275","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","18-Jun-2026","AHOBILA NARASIMHA CONSTRUCTIONS","Payment Success","297379"
"4491","Andhra Pradesh","Installing tube-wells and borewells","WS/MP18334/2025-2026/211541","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","02-Jan-2026","KATARU AMARAIAH","Payment Success","397194"
"4492","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/211543","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","24-Feb-2026","KATARU AMARAIAH","Payment Success","399188"
"4493","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP18334/2025-2026/205212","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","03-Jul-2026","KATARU AMARAIAH","Payment Success","888295"
"4494","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/162183","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","04-Jul-2026","KATARU AMARAIAH","Payment Success","590969"
"4495","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/162182","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","06-Feb-2026","KATARU AMARAIAH","Payment Success","470759"
"4496","Rajasthan","Construction of buildings for community cultural activities","WS/MP18295/2025-2026/193118","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","28-May-2026","DUNGAR SINGH CONSTRUCTION COMPANY","Payment Success","262021"
"4497","Rajasthan","Construction of buildings for community cultural activities","WS/MP18295/2025-2026/193118","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","02-Jan-2026","DUNGAR SINGH CONSTRUCTION COMPANY","Payment Success","737440"
"4498","Haryana","Construction of shelters for animals","WS/MP18402/2025-2026/180885","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","28-Jul-2026","The Baba Jot Ram Ji Co Op LC Society Ltd","Payment Success","1059757"
"4499","Haryana","Construction of shelters for animals","WS/MP18402/2025-2026/180885","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","07-Jan-2026","The Baba Jot Ram Ji Co Op LC Society Ltd","Payment Success","793906"
"4500","Rajasthan","Construction of public libraries and reading rooms","WS/MP18285/2024-2025/146345","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","10-Aug-2026","MAHENDER AND COMPANY","Payment Success","998095"
"4501","Rajasthan","Construction of public libraries and reading rooms","WS/MP18285/2024-2025/146345","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","20-Jan-2026","MAHENDER AND COMPANY","Payment Success","500000"
"4502","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP148/2025-2026/235071","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","01-Mar-2026","D S  CONSTRUCTION CO","Payment Success","632314"
"4503","Telangana","Construction of community centers and community halls","WS/MP171/2025-2026/148944","PEDDAPALLI(District Collector Peddapally_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","06-Jan-2026","Lanka Sadiah","Payment Success","447908"
"4504","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP171/2026-2027/175998","PEDDAPALLI(District Collector Peddapally_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","07-Apr-2026","Lanka Sadiah","Payment Success","498998"
"4505","Kerala","Construction of public libraries and reading rooms","WS/MP095/2025-2026/257967","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri A. A. Rahim (2022-28) (2022-2028)","Elected MP","13-Jan-2026","Rejikumaran Thampy G","Payment Success","1821116"
"4506","Punjab","Development of playground","WS/MP141/2025-2026/192026","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","25-Feb-2026","SETIA BUILDER  CONTRACTOR","Payment Success","396074"
"4507","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP843/2025-2026/180993","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","25-Feb-2026","SETIA BUILDER  CONTRACTOR","Payment Success","98885"
"4508","Punjab","Development of playground","WS/MP141/2025-2026/192026","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","02-Jan-2026","SETIA BUILDER  CONTRACTOR","Payment Success","240188"
"4509","Punjab","Development of playground","WS/MP141/2025-2026/192026","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","08-Feb-2026","SETIA BUILDER  CONTRACTOR","Payment Success","303519"
"4510","Punjab","Construction of public toilets and bathrooms","WS/MP843/2025-2026/208562","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","20-Mar-2026","SETIA BUILDER  CONTRACTOR","Payment Success","373482"
"4511","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP843/2025-2026/180993","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","25-May-2026","SETIA BUILDER  CONTRACTOR","Payment Success","306587"
"4512","Punjab","Construction of public toilets and bathrooms","WS/MP843/2025-2026/208562","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","23-Jun-2026","SETIA BUILDER  CONTRACTOR","Payment Success","157594"
"4513","Punjab","Construction of public toilets and bathrooms","WS/MP843/2025-2026/208562","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","20-Jan-2026","SETIA BUILDER  CONTRACTOR","Payment Success","405467"
"4514","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP148/2025-2026/234934","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","17-Aug-2026","GURU JAMBHESHWAR CONSTRUCTION COMPANY","Payment Success","288132"
"4515","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP148/2025-2026/234934","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","26-Apr-2026","GURU JAMBHESHWAR CONSTRUCTION COMPANY","Payment Success","510227"
"4516","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18294/2025-2026/229172","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","23-Jan-2026","GRAM PANCHAYAT KHALBANDA","Payment Success","494824"
"4517","Rajasthan","Construction of public irrigation facilities","WS/MP147/2025-2026/238974","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","22-Mar-2026","SACHCHIAYA GAU SEVA SAMITI","Payment Success","1200000"
"4518","Rajasthan","Construction of shelters for animals","WS/MP18295/2025-2026/174460","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","30-Jan-2026","SACHCHIAYA GAU SEVA SAMITI","Payment Success","490950"
"4519","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241412","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","05-Jan-2026","BHUPINDER SINGH","Payment Success","10500"
"4520","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241413","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Mar-2026","BHUPINDER SINGH","Payment Success","3000"
"4521","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241413","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Feb-2026","BHUPINDER SINGH","Payment Success","12000"
"4522","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241413","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Feb-2026","RANJIT KUMAR SO CHAMAN LAL","Payment Success","39200"
"4523","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241413","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Mar-2026","RANJIT KUMAR SO CHAMAN LAL","Payment Success","39200"
"4524","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241413","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Mar-2026","RANJIT KUMAR SO CHAMAN LAL","Payment Success","7867"
"4525","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241412","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","05-Jan-2026","RANJIT KUMAR SO CHAMAN LAL","Payment Success","82561"
"4526","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241413","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Mar-2026","JB TRADING CO","Payment Success","11151"
"4527","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241413","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","05-Jan-2026","JB TRADING CO","Payment Success","22302"
"4528","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241413","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Feb-2026","JB TRADING CO","Payment Success","67960"
"4529","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP18403/2025-2026/208118","ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","16-Jan-2026","MODASA NAGAR PALIKA","Payment Success","499000"
"4530","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/196791","Khairthal-Tijara(DISTRICT COLLECTOR KHAIRTHAL TIJARA_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","05-Jan-2026","NAMAN BUILDING MATERIAL ISHRODA","Payment Success","982875"
"4531","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP146/2025-2026/216808","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","29-Jul-2026","CHOUDHRY CONSTRUCTION COMPANY","Payment Success","541185"
"4532","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/164915","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","17-Feb-2026","OM CONSTRUCTION DHOBAHI ROBERTSGANJ","Payment Success","345148"
"4533","Uttar Pradesh","Lighting of public spaces","WS/MP019/2024-2025/164916","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","30-Jan-2026","OM CONSTRUCTION DHOBAHI ROBERTSGANJ","Payment Success","345148"
"4534","Uttar Pradesh","Lighting of public spaces","WS/MP019/2024-2025/164917","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","30-Jan-2026","OM CONSTRUCTION DHOBAHI ROBERTSGANJ","Payment Success","345395"
"4535","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/164914","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","06-Jan-2026","OM CONSTRUCTION DHOBAHI ROBERTSGANJ","Payment Success","452598"
"4536","Odisha","Purchase of hospital equipment","WS/MP138/2025-2026/172968","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","02-Apr-2026","M S ABD TRADERS","Payment Success","489510"
"4537","Odisha","Purchase of hospital equipment","WS/MP138/2025-2026/172970","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","02-Apr-2026","M S ABD TRADERS","Payment Success","489510"
"4538","Odisha","Purchase of hospital equipment","WS/MP138/2025-2026/172969","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","02-Apr-2026","M S ABD TRADERS","Payment Success","489510"
"4539","Odisha","Street lights","WS/MP138/2025-2026/203357","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
"4540","Odisha","Street lights","WS/MP138/2025-2026/203358","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
"4541","Odisha","Street lights","WS/MP138/2025-2026/203353","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
"4542","Odisha","Street lights","WS/MP138/2025-2026/203354","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
"4543","Odisha","Street lights","WS/MP138/2025-2026/203351","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
"4544","Odisha","Street lights","WS/MP138/2025-2026/203352","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
"4545","Odisha","Street lights","WS/MP138/2025-2026/203356","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
"4546","Odisha","Street lights","WS/MP138/2025-2026/203355","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Jan-2026","M S ABD TRADERS","Payment Success","249300"
"4547","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18297/2025-2026/253160","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","22-Jun-2026","GRAM PANCHAYAT PALWA","Payment Success","500000"
"4548","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18297/2025-2026/253160","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","09-Jan-2026","GRAM PANCHAYAT PALWA","Payment Success","500000"
"4549","Rajasthan","Construction of buildings for community cultural activities","WS/MP146/2025-2026/217012","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","23-Feb-2026","rahual constuction company","Payment Success","749907"
"4550","Rajasthan","Construction of buildings for community cultural activities","WS/MP146/2025-2026/217012","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","11-Feb-2026","rahual constuction company","Payment Success","750000"
"4551","Andhra Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18334/2025-2026/243309","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","10-Feb-2026","READY EVER ENERGY SOLUTIONS","Payment Success","477303"
"4552","Himachal Pradesh","Construction of community centers and community halls","WS/MP18304/2025-2026/196444","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","19-Mar-2026","Santosh Chauhan","Payment Success","300000"
"4553","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18291/2025-2026/188126","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","18-Jun-2026","NANABHANDARIYA GRAMPANCHAYAT","Payment Success","300000"
